size,time,top_individuals,crossover,mutation_rate,board_size
36,0.019389157295227052,3,product,0.060000000000000005,4
24,0.017897868156433107,3,permutations,0.060000000000000005,4
24,0.020669410228729247,3,combinations_with_rep,0.060000000000000005,4
36,0.012428693771362305,3,product,0.07,4
24,0.012129683494567872,3,permutations,0.07,4
24,0.014773094654083252,3,combinations_with_rep,0.07,4
36,0.011250743865966797,3,product,0.08,4
80,0.006562931537628174,5,permutations,0.16,4
60,0.007741367816925049,5,combinations_with_rep,0.16,4
100,0.006094150543212891,5,product,0.16999999999999998,4
80,0.006490743160247803,5,permutations,0.16999999999999998,4
60,0.0075005006790161135,5,combinations_with_rep,0.16999999999999998,4
100,0.005709657669067383,5,product,0.18,4
80,0.006892645359039306,5,permutations,0.18,4
60,0.009146909713745117,5,combinations_with_rep,0.18,4
100,0.006222388744354248,5,product,0.19,4
80,0.0056253719329833985,5,permutations,0.19,4
60,0.007031717300415039,5,combinations_with_rep,0.19,4
100,0.00539745569229126,5,product,0.2,4
80,0.006250419616699219,5,permutations,0.2,4
60,0.008678383827209472,5,combinations_with_rep,0.2,4
100,0.006875462532043457,5,product,0.21000000000000002,4
80,0.005240871906280518,5,permutations,0.21000000000000002,4
60,0.007673933506011963,5,combinations_with_rep,0.21000000000000002,4
100,0.0074280667304992675,5,product,0.22000000000000003,4
80,0.008097503185272217,5,permutations,0.22000000000000003,4
60,0.007813012599945069,5,combinations_with_rep,0.22000000000000003,4
64,0.007421755790710449,4,product,0.24,4
48,0.00715348482131958,4,permutations,0.24,4
40,0.008125545978546143,4,combinations_with_rep,0.24,4
64,0.0056253719329833985,4,product,0.25,4
48,0.007200284004211426,4,permutations,0.25,4
40,0.007742221355438232,4,combinations_with_rep,0.25,4
100,0.0201699423789978,5,product,0.05,4
80,0.02360741138458252,5,permutations,0.05,4
60,0.02413706064224243,5,combinations_with_rep,0.05,4
100,0.013125872611999512,5,product,0.060000000000000005,4
100,0.00781301736831665,5,product,0.13,4
80,0.00805389642715454,5,permutations,0.13,4
60,0.009531877040863036,5,combinations_with_rep,0.13,4
100,0.007584559917449951,5,product,0.14,4
80,0.008366084098815918,5,permutations,0.14,4
60,0.008678863048553467,5,combinations_with_rep,0.14,4
100,0.008142004013061524,5,product,0.15000000000000002,4
80,0.006847424507141113,5,permutations,0.15000000000000002,4
60,0.007656748294830322,5,combinations_with_rep,0.15000000000000002,4
100,0.00781301498413086,5,product,0.16,4
100,0.007187972068786621,5,product,0.22999999999999998,4
80,0.005709440708160401,5,permutations,0.22999999999999998,4
60,0.0075005006790161135,5,combinations_with_rep,0.22999999999999998,4
100,0.006178438663482666,5,product,0.24,4
80,0.005924837589263916,5,permutations,0.24,4
60,0.0074582862854003906,5,combinations_with_rep,0.24,4
100,0.006378650665283203,5,product,0.25,4
80,0.0064066720008850095,5,permutations,0.25,4
60,0.007344236373901367,5,combinations_with_rep,0.25,4
144,0.01343839406967163,6,product,0.05,4
60,0.015014209747314454,5,combinations_with_rep,0.09,4
100,0.010710310935974122,5,product,0.1,4
80,0.011178553104400635,5,permutations,0.1,4
60,0.010553736686706543,5,combinations_with_rep,0.1,4
100,0.010174105167388916,5,product,0.11,4
80,0.008834388256072998,5,permutations,0.11,4
60,0.012004020214080811,5,combinations_with_rep,0.11,4
100,0.009063100814819336,5,product,0.12000000000000001,4
80,0.008594324588775635,5,permutations,0.12000000000000001,4
60,0.009773221015930176,5,combinations_with_rep,0.12000000000000001,4
80,0.016371493339538575,5,permutations,0.060000000000000005,4
60,0.013920402526855469,5,combinations_with_rep,0.060000000000000005,4
100,0.01383551836013794,5,product,0.07,4
80,0.013991234302520751,5,permutations,0.07,4
60,0.013678939342498779,5,combinations_with_rep,0.07,4
100,0.013695650100708008,5,product,0.08,4
80,0.012472805976867675,5,permutations,0.08,4
60,0.015782287120819093,5,combinations_with_rep,0.08,4
100,0.009688141345977784,5,product,0.09,4
80,0.009148187637329101,5,permutations,0.09,4
84,0.007500498294830322,6,combinations_with_rep,0.18,4
144,0.005781636238098144,6,product,0.19,4
120,0.006804289817810058,6,permutations,0.19,4
84,0.006875448226928711,6,combinations_with_rep,0.19,4
